post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
141039570.m52-earthquake-strikes-near-malatya,2024-01-25T16:33:28.194Z,true,2024-01-25T16:33:28.366Z,2024-01-25T16:33:28.366Z,newsletter,only_paid,"M5.2 earthquake strikes near Malatya, Türkiye",The latest in a long series of aftershocks of the devastating Kahramanmaraş earthquakes,
140940442.major-m70-earthquake-strikes-china,2024-01-23T00:22:22.358Z,true,2024-01-23T00:22:22.464Z,2024-01-23T00:22:22.464Z,newsletter,only_paid,Major M7.0 earthquake strikes China-Kyrgyzstan border,Severe shaking on a bitter cold night suggests very serious situation,
140932966.b88,,false,,,newsletter,only_paid,,,
140876059.m53-earthquake-shakes-fairbanks-alaska,2024-01-21T02:42:29.076Z,true,2024-01-21T02:42:29.163Z,2024-01-21T02:42:29.163Z,newsletter,only_paid,"M5.3 earthquake shakes Fairbanks, Alaska","A fascinating set of faults criss-cross this area, illuminated by earthquakes",
140851772.m56-earthquake-strikes-below-colombia,2024-01-20T03:06:40.186Z,true,2024-01-20T03:06:40.240Z,2024-01-20T03:06:40.240Z,newsletter,only_paid,M5.6 earthquake strikes below Colombia,An unusual earthquake in a tectonically unusual area,
140844198.m48-in-the-north-aegean-sea,,false,,,newsletter,only_paid,,,
140772259.can-ai-predict-earthquakes,,false,,,newsletter,only_paid,,,
140772048.eletter-for-science,,false,,,newsletter,only_paid,,,
140706976.m54-earthquake-below-lake-baikal,2024-01-16T17:47:41.637Z,true,2024-01-16T17:47:41.720Z,2024-01-16T17:47:41.720Z,newsletter,only_paid,M5.4 earthquake below Lake Baikal,One of Earth's most phenomenal continental rifts,
140647139.oklahoma-city-shaken-by-moderate,2024-01-13T22:25:53.135Z,true,2024-01-13T22:25:53.212Z,2024-01-13T22:25:53.212Z,newsletter,only_paid,"Oklahoma City shaken by moderate earthquakes, presumed anthropogenic",The area experienced a surge of seismicity from 2014-2018 linked to wastewater injection,
140619515.0c7,,false,,,newsletter,only_paid,,,
140618561.m59-earthquake-off-the-coast-of-southeast,2024-01-12T15:42:12.149Z,true,2024-01-12T15:42:12.237Z,2024-01-12T15:42:12.237Z,newsletter,only_paid,M5.9 earthquake off the coast of Southeast Alaska,Strike-slip faulting of the Pacific-North America plate boundary,
